,Name,HSP.20,HSP.40,HSP.60,HSP.70,HSP.90,HSP.100,sum_HSP,total_number_protein
416,Hordeum_vulgare,39,98,35,41,6,42,61,35917
417,Hortaea_werneckii,4,43,20,22,2,15,22,15400
418,Hyaloperonospora_arabidopsidis,0,33,15,16,3,14,62,13836
419,Hydatigena_taeniaeformis,3,25,10,14,4,5,65,11628
420,Hydnomerulius_pinastri,4,8,3,5,0,2,66,7781
421,Hymenolepis_diminuta,6,25,10,9,5,7,76,11247
422,Hymenolepis_microstoma,4,30,10,9,5,7,49,12000
423,Hymenolepis_nana,8,27,10,11,4,6,65,13722
424,Hypholoma_sublateritium,7,32,13,11,3,10,59,17633
425,Hyphopichia_burtonii,0,19,11,9,1,9,68,5992
426,Hypocrea_atroviridis,4,25,10,15,1,10,90,11770
427,Hypocrea_jecorina,3,23,10,12,1,10,65,9112
428,Hypocrea_virens,6,24,10,16,1,11,66,12383
429,Hypsibius_dujardini,4,33,10,34,2,7,103,14162
430,Hypsizygus_marmoreus,4,30,12,9,3,7,53,15519
431,Ichthyophthirius_multifiliis,0,28,10,11,7,10,0,8049
432,Ictidomys_tridecemlineatus,9,46,16,14,6,12,56,18446
433,Intoshia_linei,0,22,12,8,2,9,83,8720
434,Ipomoea_nil,0,0,0,0,0,0,74,103
435,Isaria_fumosorosea,2,25,10,9,1,9,212,10050
436,Ixodes_scapularis,15,27,9,21,4,7,51,20468
437,Jaapia_argillacea,7,34,10,11,2,10,52,16339
438,Jatropha_curcas,45,91,21,21,6,28,53,27058
439,Kalmanozyma_brasiliensis,1,24,10,7,1,8,52,5765
440,Kazachstania_africana,1,18,11,11,1,10,103,5354
441,Kazachstania_naganishii,1,20,11,9,1,11,51,5301
442,Kazachstania_saulgeensis,2,18,10,11,1,10,49,5286
443,Klebsormidium_flaccidum,10,49,12,14,4,14,47,16171
444,Kluyveromyces_lactis,2,19,10,9,1,10,51,5071
